# Wight Battle (flattened HEIGHT per row)
RESET
MAP background=images/wight-battle.png grid=hex size=64 board=20x38

HEIGHT A1=0,B1=0,C1=0,D1=1,E1=1,F1=1,G1=0,H1=0,I1=0,J1=0,K1=0,L1=0,M1=0,N1=0,O1=0,P1=0,Q1=0,R1=0,S1=0,T1=0
HEIGHT A13=1,B13=1,C13=1,D13=1,E13=1,F13=1,G13=1,H13=1,I13=1,J13=0,K13=1,L13=1,M13=1,N13=1,O13=0,P13=1,Q13=1,R13=2,S13=2,T13=2
HEIGHT A14=0,B14=0,C14=0,D14=0,E14=0,F14=1,G14=0,H14=1,I14=1,J14=1,K14=1,L14=1,M14=1,N14=1,O14=1,P14=1,Q14=2,R14=3,S14=3,T14=3
HEIGHT A15=0,B15=0,C15=0,D15=1,E15=1,F15=0,G15=0,H15=1,I15=1,J15=2,K15=2,L15=2,M15=2,N15=2,O15=1,P15=2,Q15=2,R15=3,S15=3,T15=3
HEIGHT A16=0,B16=0,C16=1,D16=2,E16=2,F16=0,G16=1,H16=2,I16=2,J16=2,K16=3,L16=3,M16=3,N16=3,O16=2,P16=2,Q16=2,R16=2,S16=3,T16=3
HEIGHT A17=0,B17=0,C17=2,D17=3,E17=2,F17=1,G17=2,H17=3,I17=3,J17=1,K17=3,L17=3,M17=3,N17=3,O17=2,P17=2,Q17=1,R17=1,S17=2,T17=3
HEIGHT A18=0,B18=1,C18=3,D18=3,E18=1,F18=2,G18=3,H18=3,I18=2,J18=1,K18=2,L18=2,M18=3,N18=2,O18=1,P18=1,Q18=1,R18=1,S18=1,T18=2
HEIGHT A19=1,B19=2,C19=2,D19=2,E19=1,F19=2,G19=3,H19=3,I19=2,J19=0,K19=1,L19=2,M19=3,N19=1,O19=1,P19=1,Q19=1,R19=1,S19=1,T19=2
HEIGHT A20=1,B20=2,C20=1,D20=1,E20=0,F20=1,G20=2,H20=2,I20=1,J20=0,K20=1,L20=1,M20=2,N20=1,O20=1,P20=1,Q20=0,R20=1,S20=1,T20=1
HEIGHT A21=1,B21=1,C21=0,D21=1,E21=0,F21=0,G21=1,H21=1,I21=1,J21=1,K21=1,L21=1,M21=1,N21=1,O21=1,P21=1,Q21=1,R21=2,S21=2,T21=1
HEIGHT A22=0,B22=0,C22=1,D22=2,E22=1,F22=0,G22=1,H22=1,I22=1,J22=2,K22=2,L22=2,M22=2,N22=2,O22=2,P22=2,Q22=2,R22=3,S22=3,T22=2
HEIGHT A23=0,B23=0,C23=2,D23=3,E23=2,F23=1,G23=2,H23=2,I23=2,J23=3,K23=3,L23=3,M23=3,N23=3,O23=2,P23=2,Q23=2,R23=3,S23=3,T23=3
HEIGHT A24=0,B24=0,C24=3,D24=3,E24=2,F24=2,G24=3,H24=3,I24=3,J24=2,K24=3,L24=3,M24=3,N24=2,O24=1,P24=1,Q24=1,R24=2,S24=2,T24=3
HEIGHT A25=0,B25=0,C25=3,D25=2,E25=1,F25=1,G25=2,H25=2,I25=2,J25=1,K25=2,L25=2,M25=2,N25=2,O25=1,P25=1,Q25=1,R25=2,S25=2,T25=3
HEIGHT A26=0,B26=1,C26=2,D26=1,E26=0,F26=0,G26=1,H26=1,I26=1,J26=1,K26=1,L26=1,M26=2,N26=1,O26=0,P26=1,Q26=1,R26=1,S26=2,T26=2
HEIGHT A27=1,B27=2,C27=1,D27=0,E27=0,F27=0,G27=1,H27=1,I27=1,J27=0,K27=0,L27=1,M27=1,N27=1,O27=0,P27=0,Q27=0,R27=1,S27=1,T27=1
HEIGHT A28=1,B28=2,C28=1,D28=0,E28=0,F28=0,G28=0,H28=1,I28=1,J28=0,K28=0,L28=1,M28=1,N28=1,O28=0,P28=0,Q28=0,R28=1,S28=1,T28=1
HEIGHT A29=0,B29=1,C29=0,D29=0,E29=0,F29=0,G29=0,H29=0,I29=0,J29=0,K29=0,L29=0,M29=0,N29=0,O29=0,P29=0,Q29=0,R29=0,S29=1,T29=0
HEIGHT A30=0,B30=0,C30=0,D30=0,E30=0,F30=0,G30=0,H30=0,I30=0,J30=0,K30=0,L30=0,M30=0,N30=0,O30=0,P30=0,Q30=0,R30=0,S30=0,T30=0
